Q,A,QE,AE
"No, no, because, look, I don't care what your policy says.  I mean--",I'm very sorry.  I understand you're frustrated. You just got off of a flight.,ang,fru
I'm very sorry.  I understand you're frustrated. You just got off of a flight.,You understand that the contents of my bag- The contents of my bag cost a hundred and fifty dollars.,fru,ang
You--,We'll cover fifty.,ang,neu
We'll cover fifty.,No.  No.  No.  What I need you to do -- I need you to write checks for -- I need you to write three of them. That'll be satisfactory.,neu,ang
No.  No.  No.  What I need you to do -- I need you to write checks for -- I need you to write three of them. That'll be satisfactory.,We only cover fifty do-,ang,fru
We only cover fifty do-,"Just -- you can fill out the form--We can fill out - no, no, no, we can fill out the form three times.",fru,ang
"Just -- you can fill out the form--We can fill out - no, no, no, we can fill out the form three times.",We only cover fifty dollars worth of lost items.,ang,fru
We only cover fifty dollars worth of lost items.,And then that'll be that. It's going to be fine. Just-,fru,fru
"I'm going to get very upset.  Like, I mean, I'm- I'm upset right now but I'm going to get really upset if you- if you don't do the check thing.",I'm very sorry.,xxx,fru
I'm very sorry.  I understand you're upset.  You just got off a long flight.,"You don't understand. You don't understand, actually.  You don't understand because it was my luggage that was lost.  Okay.",neu,fru
"You don't understand. You don't understand, actually.  You don't understand because it was my luggage that was lost.  Okay.",We really -- we want to work with you. We really -- we want to help.,fru,fru
I understand that.  I would know if it was mine. Um-,"Yeah.  If it was yours, but it's not. It's mine.  Okay. So just--",neu,ang
"Yeah.  If it was yours, but it's not. It's mine.  Okay. So just--",But it's not.  It's yours.  I understand.,ang,neu
"No, it's not going to be -- but it's not going to be fifty, it's going to be a hundred and fifty.  You're going to write three, you understand, three of- of the forms.  You're going to write three of them out and then give it to me.","Yeah, we don't do that.  I can go ahead and send you--",xxx,fru
"Yeah, we don't do that.  I can go ahead and send you--",You- you- you- you're misunderstanding me.  You're going to do that.,fru,fru
You- you- you- you're misunderstanding me.  You're going to do that.,"We will definitely keep an eye out for your bag. We will try to find it.  We will, you know, fill out the form for missing items.",fru,fru
"We will definitely keep an eye out for your bag. We will try to find it.  We will, you know, fill out the form for missing items.","Look, can I just -- can I speak to your manager, please?  'Cause I- I really -- I don't, um -- I mean, I just don't want to deal with -- I know that -- I mean, I know this isn't your fault,",fru,fru
"Look, can I just -- can I speak to your manager, please?  'Cause I- I really -- I don't, um -- I mean, I just don't want to deal with -- I know that -- I mean, I know this isn't your fault,",No one can make the three check thing happen 'cause we don't do that.,fru,fru
I can write you the one check.,but I need to speak to somebody who can make the three check thing happen.,fru,ang
but I need to speak to somebody who can make the three check thing happen.,All- all that my supervisor could do is the exact same thing that I'm offering to do.,ang,fru
All- all that my supervisor could do is the exact same thing that I'm offering to do.,"But what I'm talk -- but I'm just,just- please let me--",fru,fru
But if I could just speak directly -- if I could just speak directly to your-- to your superior person,"I'd be happy to give you a cup of coffee, too.",fru,fru
We'll just throw that in--gratuitously.,then that would be helpful to me because I just feel like if- you don't think you have the power to write three checks but you actually do. see?,fru,fru
then that would be helpful to me because I just feel like if- you don't think you have the power to write three checks but you actually do. see?,"No, I don't. See, I could lose my job if I did that.",fru,fru
"No, I don't. See, I could lose my job if I did that.",But your job is not my concern. My concern is getting my luggage.,fru,fru
But your job is not my concern. My concern is getting my luggage.,And your bag is not my concern.,fru,fru
The fifty dollars I'm going to give you for your bag is really all I'm concerned with.,"Look, I don't -- look, can we just not argue about this.  Like--",fru,fru
"Look, I don't -- look, can we just not argue about this.  Like--",I'm more than happy to not argue about it.  I will give you your fifty dollar certificate.,fru,fru
You can go ahead and go fill out the form. We'll look for your bag.,So what if- what if we- what if we do three forms,fru,fru
with different names on them? That-,Then that would be lying.,fru,fru
Then that would be lying.,"but, no. See, 'cause",fru,fru
if we have three forms then I can get the hundred and fifty.,I'm sorry.  We can only issue one fifty dollar certificate to cover the lost bag for one person.,fru,fru
I'm sorry.  We can only issue one fifty dollar certificate to cover the lost bag for one person.,"Just please, will you please just work with me here? Just -- all I'm asking you to do is just work with me. I know -- I know that you get lots of people all day long who give you shit, give you crap, but",fru,fru
"Just please, will you please just work with me here? Just -- all I'm asking you to do is just work with me. I know -- I know that you get lots of people all day long who give you shit, give you crap, but","I understand you're frustrated, but--",fru,neu
"I understand you're frustrated, but--","um, you know, I -- this is my bag and I need the hundred and fifty dollars. Please.",neu,fru
"um, you know, I -- this is my bag and I need the hundred and fifty dollars. Please.",I know. I understand it's personal-- It's personal to you. I get that.,fru,neu
I know. I understand it's personal-- It's personal to you. I get that.,Please.,neu,ang
Please.,"But if you want to just sit down, you know, maybe have a cup of tea, calm down a little bit, we'll go ahead and we'll do what we can for you. you okey",ang,fru
"But if you want to just sit down, you know, maybe have a cup of tea, calm down a little bit, we'll go ahead and we'll do what we can for you. you okey","I'm already calm. Okay, I'm calm. I'm calm.",fru,ang
"Just all I need you to do is just fill out three forms and I'll leave you alone forever, forever.  I'll never -- we'll never see each other again.","And I'm looking forward to that.  However, I can't do that. I would lose my job.",fru,fru
"And I'm looking forward to that.  However, I can't do that. I would lose my job.",But that's not going to-- But you don't understand. You're looking forward to never seeing me again.,fru,fru
But that's not going to-- But you don't understand. You're looking forward to never seeing me again.,"Oh, yes.",fru,fru
"Oh, yes.",But never seeing me again is not going to happen until you give me the three checks.,fru,fru
But never seeing me again is not going to happen until you give me the three checks.,"I'm sorry, really.  But--",fru,fru
"I'm sorry, really.  But--",I don't -- I'm not- I'm not convinced.,fru,fru
I don't -- I'm not- I'm not convinced.,That I'm sorry?,fru,fru
That I'm sorry?,"Yeah.  If you were really sorry, you'd give me the three checks.",fru,ang
I'm sorry.,Thanks.,sad,sad
Thanks.,"I know- I know there's nothing I can say that will really help, but--",sad,sad
"I know- I know there's nothing I can say that will really help, but--","I know.  I just -- I don't know.  It's just weird because you have somebody who's, you know,",sad,sad
a major part of your life and then they're gone.  And I don't know.  That's not really -- it's never really happened to me before.,I'm sorry.  It's never easy.,sad,sad
I'm sorry.  It's never easy.,Yeah.,sad,sad
Yeah.,"But, I'm here if there's anything you need.  I mean, you just have to ask.  I know --",sad,sad
"But, I'm here if there's anything you need.  I mean, you just have to ask.  I know --",Thanks.,sad,sad
Thanks.,--it doesn't really do anything.  But--,sad,sad
--it doesn't really do anything.  But--,I just -- it's just not fair.,sad,sad
I just -- it's just not fair.,I know.  It never is.,sad,sad
"How's, um -- how's his parents doing?","I mean, they're, you know, they're upset.  It's like you know, they",sad,sad
feel the same way everybody else does.,"I mean, what do you want to do?  Do you want to- do you want to talk about it?  Do you-",sad,sad
"I mean, what do you want to do?  Do you want to- do you want to talk about it?  Do you-","[BREATHING] I mean, there's nothing really to talk about.  He's gone and I'll never see him again.",sad,sad
"[BREATHING] I mean, there's nothing really to talk about.  He's gone and I'll never see him again.","Well I know it's not a lot of help or anything, but at least you got to know him.  I mean, at least you had the time with him that you did.",sad,sad
"Well I know it's not a lot of help or anything, but at least you got to know him.  I mean, at least you had the time with him that you did.",Yeah.,sad,sad
